date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:46:42	42/42	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2011%20Jun%202025%2008:46:43%20GMT	https://walwle75.adaptive.ai/robots.txt		(from )
12:46:43	55/55	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2011%20Jun%202025%2008:46:43%20GMT	https://walwle75.adaptive.ai/?_evid=ELVQLr4YVBfjVPFz	C:/my_projects/trash/bardabar_adaprive_web/walwle75.adaptive.ai/index410e.html	(from )
12:46:43	3594/3594	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Jun%202025%2008:46:44%20GMT	https://walwle75.on.adaptive.ai/robots.txt		(from )
12:46:44	9779/9779	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Jun%202025%2008:46:44%20GMT	https://walwle75.on.adaptive.ai/?_evid=ELVQLr4YVBfjVPFz	C:/my_projects/trash/bardabar_adaprive_web/walwle75.on.adaptive.ai/index410e.html	(from )
12:46:51	39930/39930	---MCZ	200	added ('OK')	text/css	etag:W/%229fc8c8437524ce2a7d7098b59d87748a%22	https://adaptive.ai/cdn/p2HJqdjKZBRMBdCWZgQM6a3yGBQDDWVT.css	C:/my_projects/trash/bardabar_adaprive_web/adaptive.ai/cdn/p2HJqdjKZBRMBdCWZgQM6a3yGBQDDWVT.css	(from https://walwle75.on.adaptive.ai/?_evid=ELVQLr4YVBfjVPFz)
12:46:52	14586/14586	---MCZ	200	added ('OK')	text/css	etag:W/%220b7c5ed41a89c50b25fdfa3d44b79c3c%22	https://adaptive.ai/cdn/eD8brD26ghCHe43RapED3CG6CJmx6TqD.css	C:/my_projects/trash/bardabar_adaprive_web/adaptive.ai/cdn/eD8brD26ghCHe43RapED3CG6CJmx6TqD.css	(from https://walwle75.on.adaptive.ai/?_evid=ELVQLr4YVBfjVPFz)
12:46:52	844654/844654	---M--	200	added ('OK')	image/png	etag:%2285e7cd5c6229dbd47a1e16bc2513c7ce%22	https://walwle75.on.adaptive.ai/cdn/erLBU3T7tGHBkqgWrciMZZDftpxjqAN7.png	C:/my_projects/trash/bardabar_adaprive_web/walwle75.on.adaptive.ai/cdn/erLBU3T7tGHBkqgWrciMZZDftpxjqAN7.png	(from https://walwle75.on.adaptive.ai/?_evid=ELVQLr4YVBfjVPFz)
12:46:52	3014880/3014880	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f1e0db71f3413016177eeee9c8cf05d6%22	https://adaptive.ai/cdn/nNdiWFhgrZYzQBfJbMYiACEC2HyHpnDQ.js	C:/my_projects/trash/bardabar_adaprive_web/adaptive.ai/cdn/nNdiWFhgrZYzQBfJbMYiACEC2HyHpnDQ.js	(from https://walwle75.on.adaptive.ai/?_evid=ELVQLr4YVBfjVPFz)
12:46:54	53/53	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2011%20Jun%202025%2008:46:54%20GMT	https://walwle75.adaptive.ai/	C:/my_projects/trash/bardabar_adaprive_web/walwle75.adaptive.ai/index.html	(from https://walwle75.on.adaptive.ai/?_evid=ELVQLr4YVBfjVPFz)
12:46:54	630/630	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2011%20Jun%202025%2008:46:54%20GMT	http://walwle75.on.adaptive.ai/?_vid=ELVQLr4YVBfjVPFz	C:/my_projects/trash/bardabar_adaprive_web/walwle75.on.adaptive.ai/index8016.html	(from https://walwle75.adaptive.ai/)
12:46:55	630/630	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2011%20Jun%202025%2008:46:55%20GMT	http://walwle75.on.adaptive.ai/robots.txt		(from https://walwle75.adaptive.ai/)
